nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
87,023.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,141,573,25,140,573,22,2
88,023.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,526,632,27,525,637,25,1
88,023.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,467,585,30,466,590,28,2
89,023.NM,8,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,135,836,25,140,839,26,1
89,023.NM,8,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,194,743,23,198,746,25,2
90,023.NM,9,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,865,767,32,865,773,31,1
90,023.NM,9,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,853,814,27,847,813,28,2
92,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_024.tif,454,153,21,456,152,21,1
92,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_024.tif,426,62,25,427,62,27,2
95,024.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_024.tif,81,798,26,85,801,24,1
95,024.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_024.tif,159,848,24,164,852,23,2
