nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
125,047.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,577,230,26,583,232,27,2,6.40312423743285
126,047.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,372,307,25,371,309,23,1,3
126,047.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,336,369,20,336,368,23,2,3.16227766016838
127,047.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,577,429,24,577,429,22,1,2
127,047.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,582,461,28,582,462,25,2,3.16227766016838
128,047.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,713,708,22,711,706,23,1,3
128,047.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,746,690,20,745,687,22,2,3.74165738677394
130,048.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_050.tif,589,405,28,585,403,28,1,4.47213595499958
130,048.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_050.tif,566,430,20,561,432,21,2,5.47722557505166
131,048.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_050.tif,313,522,26,310,522,28,1,3.60555127546399
131,048.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_050.tif,396,528,24,392,526,22,2,4.89897948556636
132,048.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_050.tif,503,660,34,501,654,35,1,6.40312423743285
132,048.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_050.tif,510,657,24,509,662,26,2,5.47722557505166
