nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
82,025.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_025.tif,387,820,8,387,821,5,2,3.16227766016838
87,027.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_027.tif,727,481,8,728,483,10,1,3
87,027.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_027.tif,717,453,11,716,458,13,2,5.47722557505166
89,028.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_028.tif,296,217,6,299,211,6,1,6.70820393249937
89,028.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_028.tif,308,288,6,313,292,7,2,6.48074069840786
90,028.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_028.tif,139,645,10,139,642,12,1,3.60555127546399
90,028.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_028.tif,87,680,9,83,677,7,2,5.3851648071345
91,028.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_028.tif,719,758,7,719,762,5,1,4.47213595499958
91,028.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_028.tif,763,770,7,759,765,6,2,6.48074069840786
97,031.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_031.tif,167,316,9,171,311,10,1,6.48074069840786
