nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
124,040.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,430,189,22,428,191,24,1
124,040.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,372,193,14,366,194,15,2
125,040.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,879,463,13,876,459,15,1
125,040.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,953,436,12,954,436,15,2
126,040.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,83,669,16,87,674,15,1
126,040.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,107,615,23,108,615,20,2
129,040.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,276,953,14,271,953,16,1
129,040.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,319,851,23,320,846,21,2
130,040.NM,8,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,542,902,13,542,907,12,1
130,040.NM,8,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,507,869,18,503,866,16,2
133,041.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_041.tif,671,456,17,667,451,16,1
133,041.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_041.tif,705,433,15,710,434,13,2
142,043.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_043.tif,584,894,21,586,894,19,1
142,043.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_043.tif,535,804,22,534,804,25,2
145,044.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_044.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_044.tif,727,323,25,728,323,27,1
145,044.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_044.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_044.tif,704,361,18,706,357,19,2
147,044.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_044.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_044.tif,168,516,20,170,510,19,1
147,044.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_044.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_044.tif,100,474,23,100,473,20,2
151,045.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_045.tif,893,209,13,891,213,14,1
151,045.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_045.tif,845,195,13,845,195,16,2
152,045.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_045.tif,136,281,15,134,286,14,1
152,045.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_045.tif,144,271,22,144,278,22,2
